date,open,close,high,low,volume,code
2017-07-26,41.04,40.0,41.2,39.7,694889.0,000651
2017-07-27,39.9,38.9,39.9,38.55,919579.0,000651
2017-07-28,39.33,39.57,39.79,39.0,567512.0,000651
2017-07-31,39.63,39.24,39.63,38.97,527418.0,000651
2017-08-01,39.18,39.26,39.93,38.98,567478.0,000651
2017-08-02,39.26,39.02,39.56,38.88,495573.0,000651
2017-08-03,39.0,38.33,39.0,37.95,796377.0,000651
2017-08-04,38.33,37.79,38.68,37.65,639476.0,000651
2017-08-07,37.79,38.43,38.6,36.83,689584.0,000651
2017-08-08,38.35,38.49,38.86,38.15,368308.0,000651
2017-08-09,38.49,39.18,39.5,38.2,572549.0,000651
2017-08-10,39.18,38.82,39.6,38.5,415328.0,000651
2017-08-11,38.35,38.16,39.01,38.0,380577.0,000651
2017-08-14,38.2,38.83,39.25,38.2,427689.0,000651
2017-08-15,38.86,38.58,38.99,38.38,369549.0,000651
2017-08-16,38.48,37.92,38.55,37.66,528731.0,000651
2017-08-17,38.01,38.08,38.33,37.6,420343.0,000651
2017-08-18,37.89,38.27,38.43,37.74,301067.0,000651
2017-08-21,38.32,38.9,39.0,38.12,428797.0,000651
2017-08-22,39.11,39.06,39.62,38.91,456970.0,000651
2017-08-23,39.1,39.2,39.26,38.92,304271.0,000651
2017-08-24,39.21,39.43,39.5,39.1,395252.0,000651
2017-08-25,39.62,39.65,40.15,39.5,551227.0,000651
2017-08-28,40.04,39.82,40.5,39.5,592687.0,000651
2017-08-29,39.91,39.38,39.94,39.0,492170.0,000651
2017-08-30,39.49,39.58,39.61,39.12,354848.0,000651
2017-08-31,40.12,38.65,40.35,38.12,1214647.0,000651
2017-09-01,38.67,38.11,38.67,37.92,1082110.0,000651
2017-09-04,38.08,38.08,38.32,37.8,669978.0,000651
2017-09-05,38.08,38.13,38.33,37.9,497346.0,000651
2017-09-06,38.13,38.19,38.25,37.93,376484.0,000651
2017-09-07,38.05,37.8,38.12,37.65,576465.0,000651
2017-09-08,37.7,37.09,37.8,37.01,854393.0,000651
2017-09-11,37.02,37.11,37.52,36.78,513667.0,000651
2017-09-12,37.1,36.7,37.1,36.42,756724.0,000651
2017-09-13,36.7,37.33,37.48,36.56,718019.0,000651
2017-09-14,37.33,37.5,37.65,37.03,481197.0,000651
2017-09-15,37.49,37.94,38.09,37.23,648502.0,000651
2017-09-19,38.0,37.29,38.38,37.24,631201.0,000651
2017-09-20,37.4,37.83,37.98,37.3,470740.0,000651
2017-09-21,37.96,37.99,38.15,37.78,435297.0,000651
2017-09-22,37.9,39.25,39.63,37.86,1124248.0,000651
2017-09-25,39.2,38.93,39.52,38.68,610590.0,000651
2017-09-26,38.91,38.4,39.13,38.2,462085.0,000651
2017-09-27,38.48,38.55,38.79,38.13,347620.0,000651
2017-09-28,38.55,37.9,38.62,37.87,479436.0,000651
2017-09-29,37.94,37.9,38.25,37.8,347619.0,000651
2017-10-09,38.5,39.1,39.58,38.02,1166830.0,000651
2017-10-10,39.28,38.79,39.54,38.15,858895.0,000651
2017-10-11,38.69,39.95,40.21,38.52,1404219.0,000651
2017-10-12,39.98,40.42,40.59,39.83,969359.0,000651
2017-10-13,40.45,40.27,40.64,39.85,531334.0,000651
2017-10-16,40.27,39.5,40.6,39.5,564722.0,000651
2017-10-17,39.76,40.68,40.68,39.39,832012.0,000651
2017-10-18,40.7,41.19,41.2,40.4,776494.0,000651
2017-10-19,40.99,41.06,41.55,40.57,667512.0,000651
2017-10-20,40.92,40.5,40.92,40.04,493677.0,000651
2017-10-23,40.5,40.63,40.9,40.09,397022.0,000651
2017-10-24,40.33,41.27,41.45,40.27,669611.0,000651
2017-10-25,41.2,41.81,41.95,41.1,728210.0,000651
2017-10-26,42.01,42.88,43.6,41.7,963327.0,000651
2017-10-27,42.7,43.77,43.8,42.61,692542.0,000651
2017-10-30,43.9,43.75,44.3,42.7,645709.0,000651
2017-10-31,43.8,42.55,43.8,42.24,836809.0,000651
2017-11-01,42.6,41.8,43.08,41.59,951610.0,000651
2017-11-02,41.82,42.26,42.27,41.35,544940.0,000651
2017-11-03,42.27,41.83,42.58,41.6,543527.0,000651
2017-11-06,41.86,43.53,43.72,41.79,920701.0,000651
2017-11-07,43.6,44.19,45.0,43.4,861129.0,000651
2017-11-08,44.17,43.53,45.0,43.32,815936.0,000651
2017-11-09,43.55,43.74,43.81,42.59,641268.0,000651
2017-11-10,43.72,45.67,45.74,43.66,1043659.0,000651
2017-11-13,45.95,45.64,46.46,45.36,747428.0,000651
2017-11-14,45.47,44.86,45.5,44.38,668721.0,000651
2017-11-15,44.68,45.46,45.66,44.42,633152.0,000651
2017-11-16,45.1,45.86,45.86,44.5,658313.0,000651
2017-11-17,45.69,45.95,46.3,44.98,876951.0,000651
2017-11-20,45.5,45.82,45.94,44.7,617386.0,000651
2017-11-21,45.81,47.8,47.8,45.7,1216429.0,000651
2017-11-22,47.86,47.36,48.19,46.95,877585.0,000651
2017-11-23,47.01,45.01,47.15,44.6,958310.0,000651
2017-11-24,44.6,45.51,45.54,43.5,1096093.0,000651
2017-11-27,44.95,44.04,44.95,43.64,727477.0,000651
2017-11-28,43.7,44.0,44.39,43.51,432874.0,000651
2017-11-29,44.15,42.45,44.28,42.21,746558.0,000651
2017-11-30,42.5,42.45,42.94,42.07,485983.0,000651
2017-12-01,42.52,41.63,42.7,41.5,699908.0,000651
2017-12-04,41.5,42.16,42.51,41.33,700670.0,000651
2017-12-05,41.81,42.5,42.95,41.77,730805.0,000651
2017-12-06,42.4,41.95,42.71,41.05,647661.0,000651
2017-12-07,41.78,40.8,42.05,40.7,605528.0,000651
2017-12-08,40.89,41.69,42.14,40.89,576381.0,000651
2017-12-11,42.3,43.44,43.59,42.12,818974.0,000651
2017-12-12,43.6,43.02,44.17,43.0,551324.0,000651
2017-12-13,43.18,43.95,44.1,43.01,585370.0,000651
